rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,height,width,distortion_model,D,K,R,P,binning_x,binning_y,roi,x_offset,y_offset,height,width,do_rectify
1445170253571100923,,10906,,1411821236,505521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170253620893892,,10907,,1411821236,555521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170253671221231,,10908,,1411821236,605521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170253721336442,,10909,,1411821236,655521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170253771254148,,10910,,1411821236,705521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170253820965172,,10911,,1411821236,755521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170253871173708,,10912,,1411821236,805521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170253921354292,,10913,,1411821236,855521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170253971131603,,10914,,1411821236,905521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254021374395,,10915,,1411821236,955521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
1445170254074822885,,10916,,1411821237,5521500,cam0,480,752,plumb_bob,"[-0.2949073143723929, 0.0861183184122628, -0.0003773297173958847, -0.0005139905380028176, 0.0]","[466.1934419081542, 0.0, 368.5270979071325, 0.0, 464.6778903643547, 228.2504759831114, 0.0, 0.0, 1.0]","[0.9999909504282183, -0.0028173790085591127, -0.003187700925519896, 0.002816432368993701, 0.9999959884204241, -0.00030141627294293343, 0.0031885373416842186, 0.00029243560118546454, 0.9999948738423811]","[436.2752458915671, 0.0, 380.8443374633789, 0.0, 0.0, 436.2752458915671, 232.04424667358398, 0.0, 0.0, 0.0, 1.0, 0.0]",1,1,,0,0,0,0,False
